name,type
a,nemo
ab,est
adipisci,minima
amet,eos
apple,fruit
architecto,quo
asperiores,molestias
aut,ratione
blanditiis,est
consectetur,voluptatibus
consequatur,et
consequuntur,sequi
corrupti,a
culpa,perspiciatis
cumque,et
debitis,enim
delectus,nesciunt
deleniti,ratione
deserunt,quas
distinctio,at
dolore,et
dolorem,incidunt
dolores,totam
ducimus,culpa
ea,sit
eaque,ex
eius,possimus
eligendi,cum
enim,sit
eos,non
error,illo
est,consectetur
et,corrupti
eum,veniam
eveniet,autem
ex,tempore
exercitationem,vitae
facere,et
fuga,labore
fugiat,aut
id,numquam
illum,et
impedit,voluptatem
in,reprehenderit
ipsam,sit
ipsum,aut
laborum,fugit
libero,dolor
magnam,optio
magni,iusto
maxime,et
minus,aut
molestiae,fugiat
necessitatibus,id
nemo,illo
neque,et
nihil,distinctio
nobis,est
non,dolorem
nulla,distinctio
odio,et
officiis,quis
omnis,inventore
optio,quod
pariatur,ut
pear,fruit
placeat,et
praesentium,at
provident,fugit
quae,assumenda
quaerat,laborum
quam,est
quas,porro
quasi,possimus
qui,nesciunt
quia,et
quidem,non
quisquam,totam
quo,eos
quod,molestiae
quos,fugit
ratione,vel
reiciendis,voluptatem
repellendus,maiores
rerum,similique
sapiente,quisquam
sed,sit
similique,alias
sint,magni
sit,quo
sunt,dolores
suscipit,laborum
tempore,ea
temporibus,quia
ut,in
vel,impedit
vero,quis
vitae,placeat
voluptas,quia
voluptate,qui
voluptatem,qui
voluptatibus,modi
